Event,City,Country,Distance,Date,Link
Brooklyn Half Marathon,Brooklyn,USA,Half Marathon,5/17/2025,https://www.nyrr.org/races/brooklynhalf
Seattle Half Marathon,Seattle,USA,Half Marathon,12/1/2024,https://www.seattlemarathon.org/
Sydney Morning Herald Half,Sydney,Australia,Half Marathon,5/19/2025,https://sydneyrunningfestival.com.au/
Shanghai Half Marathon,Shanghai,China,Half Marathon,4/21/2025,http://www.shmarathon.com/
Helsinki Half Marathon,Helsinki,Finland,Half Marathon,6/8/2025,https://helsinkihalfmarathon.fi/en/
Twin Cities Marathon,Minneapolis-St. Paul,USA,Marathon,10/6/2024,https://www.tcmevents.org/
Portland Marathon,Portland,USA,Marathon,10/6/2024,https://portlandmarathon.com/
California International Marathon,Sacramento,USA,Marathon,12/8/2024,https://runsra.org/california-international-marathon/
Walt Disney World Marathon,Orlando,USA,Marathon,1/5/2025,https://www.rundisney.com/
Miami Marathon,Miami,USA,Marathon,1/26/2025,https://www.themiamimarathon.com/
Austin Marathon,Austin,USA,Marathon,2/16/2025,https://youraustinmarathon.com/
Little Rock Marathon,Little Rock,USA,Marathon,3/2/2025,https://littlerockmarathon.com/
Grandma's Marathon,Duluth,USA,Marathon,6/21/2025,https://grandmasmarathon.com/
San Francisco Marathon,San Francisco,USA,Marathon,7/27/2025,https://www.thesfmarathon.com/
Rock 'n' Roll Las Vegas Half,Las Vegas,USA,Half Marathon,2/23/2025,https://www.runrocknroll.com/las-vegas
Philadelphia Half Marathon,Philadelphia,USA,Half Marathon,11/23/2024,https://philadelphiamarathon.com/
Rock 'n' Roll San Diego Half,San Diego,USA,Half Marathon,6/1/2025,https://www.runrocknroll.com/san-diego
Atlanta Half Marathon,Atlanta,USA,Half Marathon,2/23/2025,https://www.atlantatrackclub.org/
Austin Half Marathon,Austin,USA,Half Marathon,2/16/2025,https://youraustinmarathon.com/
Miami Half Marathon,Miami,USA,Half Marathon,1/26/2025,https://www.themiamimarathon.com/
Disney Princess Half Marathon,Orlando,USA,Half Marathon,2/23/2025,https://www.rundisney.com/
Rock 'n' Roll Nashville Half,Nashville,USA,Half Marathon,4/27/2025,https://www.runrocknroll.com/nashville
United Airlines NYC Half,New York City,USA,Half Marathon,3/16/2025,https://www.nyrr.org/races/
Naples Half Marathon,Naples,USA,Half Marathon,1/19/2025,https://napleshalfmarathon.net/
Eugene Marathon,Eugene,USA,Marathon,4/26/2025,https://www.eugenemarathon.com/
Flying Pig Marathon,Cincinnati,USA,Marathon,5/4/2025,https://flyingpigmarathon.com/
Detroit Free Press Marathon,Detroit,USA,Marathon,10/20/2024,https://www.freepmarathon.com/
